mass v1 v2 v3 v4 v5 v6 tag
mass tag
734.770828169 4mm
85.0912893849 e
87.383924186 m
1274.99805502 4me
91.5349415148 e
80.2766459668 m
1396.69489276 4me
91.5584443363 e
94.52017453 m
1582.29197222 4me
788.6551602 4mm
87.082500009 e
50.9666839604 m
1011.01132325 4me
91.2444107886 e
1578.34505224 4ee
89.7319258388 e
78.9288154104 m
1567.83488854 4me
1373.67441767 4ee
92.317568114 e
91.546821363 e
87.9169062656 m
1435.97437069 4me
1509.54330712 4ee
1370.32620505 4ee
91.1719713177 e
83.0091014149 m
1385.25410178 4me
91.2208795953 e
81.6358215715 m
1378.18491607 4me
95.8031486222 e
1243.77783336 4ee
90.3765378561 e
84.4228384099 m
1577.10189392 4me
0.744209697386 m
80.5535023168 e
90.9805024534 m
1518.73689592 4me
89.9878754518 e
86.6327609261 m
1465.867709 4me
91.7566858344 e
92.3761084691 m
1503.07855353 4me
10.7098049257 m
90.2879176717 e
104.139341917 m
1904.63482852 4me
1432.08343738 4mm
1403.64697162 4ee
1421.8585741 4mm
90.4448477096 e
136.444626334 m
909.618844765 4ee
90.113201093 e
105.045088631 m
1584.58038425 4me
89.523740602 e
99.671615088 m
1465.86902828 4me
77.6445718423 m
166.758590582 e
100.662989212 m
75.6490179236 e
86.2672519938 m
1437.23194157 4me
1577.85593285 4mm
95.3179934678 e
91.1372480435 e
87.7763004749 m
1460.18764484 4me
1492.61782536 4mm
89.5038547581 e
94.870722907 m
1578.79065165 4me
1442.67278561 4mm
95.5063892184 e
90.5801802742 m
1871.15896685 4me
89.9803444645 e
88.4466402439 m
1479.82875922 4me
80.8217156928 m
89.5318116625 e
110.382377025 m
2068.47538972 4me
1459.43607916 4mm
89.6710413962 e
88.2565933197 m
1446.45984141 4me
61.2020034023 e
146.550528631 m
84.2312568529 m
1494.9477492 4ee
1490.72338941 4ee
91.8990671306 e
97.7456468724 m
1579.61792397 4me
1554.45255156 4mm
90.0182351948 e
93.9618524399 m
1501.4682834 4me
1476.41212611 4ee
62.0496487437 m
652.659368159 4ee
150.413170662 e
18.6162709218 m
84.6302689336 m
1509.27583226 4ee
91.1709234451 e
93.9707732885 m
1344.16015862 4me
1799.99343455 4mm
12.1414205695 e
76.2791461114 m
443.038247994 4me
91.0984745352 e
85.0982232219 m
1416.95365518 4me
1512.00652488 4ee
1496.01211735 4mm
1516.08040824 4ee
89.57260827 e
89.4813930886 m
1575.86860081 4me
1560.16312126 4ee
1261.19704805 4mm
91.5116140091 e
72.301148364 m
1475.73944176 4me
83.7553897698 e
87.0560747739 m
1480.66283816 4me
1483.57330968 4ee
1477.74370815 4mm
1511.71307728 4ee
91.5814298667 e
88.8785696934 m
1471.81440796 4me
84.4108055067 e
1500.31180725 4ee
92.1490487021 m
97.2926683762 m
87.4184842036 e
92.1050779495 m
1485.66023853 4me
88.61708292 e
97.7300490857 m
1593.96034051 4me
96.5476938735 m
92.1603357198 e
84.189198614 m
1222.78789406 4me
91.6343877508 e
99.1243302599 m
1466.98595109 4me
89.1935765862 e
90.056286234 m
1414.86151438 4me
89.8148418182 e
87.6869126255 m
1502.53198256 4me
103.111497802 m
1427.3831224 4ee
88.8213506599 e
89.639506295 m
1634.38188304 4me
88.1291469552 e
95.4679147542 m
1494.80662072 4me
1481.07373376 4mm
1366.42874375 4ee
88.8761034347 m
87.8560741132 m
88.5205064289 e
90.5993671989 m
1489.39115622 4me
97.9537432784 e
92.7927536668 m
1451.29070424 4ee
1428.52244274 4ee
88.8569858653 e
45.6273972475 m
1383.67733653 4me
90.2081130691 e
91.2311350988 e
93.0772193247 m
1418.12962654 4me
84.6743366105 m
91.1763561263 e
89.5635799753 m
1465.2939516 4me
90.9882646846 e
83.9753785855 m
1411.6468513 4me
91.2609818848 e
85.5080242821 m
1554.12240874 4me
1371.56411229 4mm
88.9083154239 m
128.530805599 e
102.353598201 m
90.7982685386 e
101.24141444 m
1548.64536633 4me
91.7442466135 e
91.080226833 m
1559.3906171 4me
92.8726024767 e
97.7828982633 m
1583.70878396 4me
1395.42102838 4mm
88.4849899392 e
87.9791375457 m
1494.59221964 4me
87.7861114065 m
87.2091786355 e
77.0426365572 m
1372.44320715 4me
766.36183863 4ee
89.066592884 m
94.1365183943 e
91.6896117848 m
1389.5657003 4me
89.3526808217 e
1750.35672369 4mm
89.8872272493 e
98.0617712186 e
88.6001554474 m
1419.2316658 4me
1502.42014098 4ee
1382.71896089 4mm
1320.75753028 4mm
92.7836419308 e
91.6583036929 m
1495.39527481 4me
89.4668472644 e
95.3641508333 e
94.2325343233 m
1593.7176885 4me
1323.48200707 4mm
91.2813380104 e
